DateTime,B-Voltage,B-Current,B-Temperature,V-Change,I-Change,T-Change,B-Resistance,V-Gradient,VDRt,Year,UPS_Operation_Mode,CumulativeTime,ChargeorDischargeCapacity,DischargeCapacity,ModeChange,dQ/dV
4/8/2016 15:17,216,0,91,0,0,0,0,0,0,2016,Online,0,0,0,0,0
4/8/2016 15:22,216,0,93,0,0,0,0,0,0,2016,Online,4.983333333,0,0,0,0
4/8/2016 15:27,216,0,91,0,0,0,0,0,0,2016,Online,10,0,0,0,0
4/8/2016 15:32,216,0,91,0,0,0,0,0,0,2016,Online,15.01666667,0,0,0,0
4/8/2016 15:37,216,0,93,0,0,0,0,0,0,2016,Online,20.03333333,0,0,0,0
4/8/2016 15:42,216,0,95,0,0,0,0,0,0,2016,Online,25.01666667,0,0,0,0
4/8/2016 15:47,216,0,91,0,0,0,0,0,0,2016,Online,30.03333333,0,0,0,0
4/8/2016 15:52,216,0,91,0,0,0,0,0,0,2016,Online,35.05,0,0,0,0
4/8/2016 15:57,216,0,93,0,0,0,0,0,0,2016,Online,40.05,0,0,0,0
4/8/2016 16:02,216,0,91,0,0,0,0,0,0,2016,Online,45.03333333,0,0,0,0
4/8/2016 16:07,216,0,91,0,0,0,0,0,0,2016,Online,50.03333333,0,0,0,0
4/8/2016 16:12,216,0,91,0,0,0,0,0,0,2016,Online,55.03333333,0,0,0,0
4/8/2016 16:17,216,0,93,0,0,0,0,0,0,2016,Online,60.01666667,0,0,0,0
4/8/2016 16:22,216,0,91,0,0,0,0,0,0,2016,Online,65.03333333,0,0,0,0
4/8/2016 16:27,216,0,91,0,0,0,0,0,0,2016,Online,70.03333333,0,0,0,0
4/8/2016 16:32,216,0,91,0,0,0,0,0,0,2016,Online,75.05,0,0,0,0
4/8/2016 16:37,216,0,93,0,0,0,0,0,0,2016,Online,80.03333333,0,0,0,0
4/8/2016 16:42,216,0,91,0,0,0,0,0,0,2016,Online,85.01666667,0,0,0,0
4/8/2016 16:47,216,0,91,0,0,0,0,0,0,2016,Online,90,0,0,0,0
4/8/2016 16:52,216,0,91,0,0,0,0,0,0,2016,Online,95,0,0,0,0
4/8/2016 16:57,216,0,93,0,0,0,0,0,0,2016,Online,100.0166667,0,0,0,0
4/8/2016 17:02,216,0,91,0,0,0,0,0,0,2016,Online,105.0166667,0,0,0,0
4/8/2016 17:07,216,0,91,0,0,0,0,0,0,2016,Online,110,0,0,0,0
4/8/2016 17:12,216,0,91,0,0,0,0,0,0,2016,Online,115.0166667,0,0,0,0
4/8/2016 17:17,216,0,91,0,0,0,0,0,0,2016,Online,120,0,0,0,0
4/8/2016 17:22,216,0,91,0,0,0,0,0,0,2016,Online,125.0166667,0,0,0,0
4/8/2016 17:27,216,0,91,0,0,0,0,0,0,2016,Online,130.0166667,0,0,0,0
4/8/2016 17:32,216,0,91,0,0,0,0,0,0,2016,Online,135.0333333,0,0,0,0
4/8/2016 17:37,216,0,91,0,0,0,0,0,0,2016,Online,140.0333333,0,0,0,0
4/8/2016 17:42,216,0,93,0,0,0,0,0,0,2016,Online,145.0166667,0,0,0,0
4/8/2016 17:47,216,0,91,0,0,0,0,0,0,2016,Online,150.0166667,0,0,0,0
